speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95,rho1_P_mean,rho1_P_ci95,tau_P_ar1_mean,tau_P_ar1_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95,P_local_mean,P_local_mean_ci95,P_local_var,P_local_var_ci95,chi_local_mean,chi_local_ci95
1.1,0.4,20,0.246484375,0.02844116404785859,0.091015625,0.008031863553002257,0.3645800917825541,0.06112097951280181,0.0202501154477513,0.008188689527983465,2.5920147773121665,1.0481522595818835,0.9899999999999997,1.4976514641317253e-16,198.99999999999986,1.277995916059072e-14,20.5,3.583159440905103,24.45,1.7900272858843596,0.986436046831512,0.0066893642967773255,0.0041205377233850165,0.0033472620511120375,0.5274288285932821,0.4284495425423408
1.1,0.6,20,0.141015625,0.019855816045135404,0.116015625,0.008906156942034612,0.3848213238757121,0.06055043030390967,0.027774802560941336,0.007908328968227877,3.555174727800491,1.0122661079331683,0.9894823872755667,0.0007411262814675353,192.1979846294799,8.800745140994508,24.5,4.230102648997142,16.05,1.7442609051581583,0.9954949354554072,0.0020143276605428806,0.0007879937023992174,0.0008074389870913769,0.10086319390709983,0.10335219034769624
1.1,0.8,20,0.09921875,0.021400049524583006,0.1859375,0.02463061400740101,0.41503788466878816,0.07675026241754694,0.024763861174455143,0.009593537021283766,3.1697742303302583,1.227972738724322,0.9880535578554726,0.0027393426070188446,185.08751940502913,17.062549655360844,23.5,4.53014697100959,14.9,1.5108670219098492,0.9970178475620655,0.0015631158601703248,0.000151570151491322,0.00014027181150880907,0.019400979390889216,0.01795479187312756
