policy,speed_ratio,best_safe_w_align,best_safe_mean,best_chi_w_align,best_chi_local_w_align,corr_safe_chi,corr_safe_chi_local,corr_safe_tau,corr_safe_xi,near_critical_gain_chi,near_critical_gain_chi_local,n_points,quartile_points
p0_nearest,0.9,0.35,0.3826822916666667,0.85,0.0,-0.6068536827949932,0.3505416174675049,-0.13615376866841142,-0.6575017760621031,-0.22934895833333338,0.176796875,21,5
p1_intercept,0.9,0.3,0.38450520833333335,0.9,0.0,-0.8420790710822843,0.4327729652747078,-0.5370905115732099,-0.6925910377046691,-0.2733854166666667,0.19626302083333333,21,5
p0_nearest,1.1,0.25,0.346875,0.95,1.0,-0.5849042822915016,0.020340772955038763,-0.276393915932475,-0.6807231297752457,-0.23450520833333338,0.16734375000000004,21,5
p1_intercept,1.1,0.15,0.3814453125,1.0,0.0,-0.8605949557834895,0.3251061729395197,-0.19127655220061185,-0.7128282088199047,-0.2851171874999999,0.19388020833333336,21,5
p0_nearest,1.3,0.15,0.2965494791666667,1.0,1.0,-0.7431895707320508,-0.13484261112656187,-0.23324082010375877,-0.8515464856262486,-0.1830859375,0.14860677083333335,21,5
p1_intercept,1.3,0.15,0.3359375,0.95,1.0,-0.909989073982591,0.18703123073583802,-0.2034920817470498,-0.8090510396859824,-0.26078124999999996,0.194296875,21,5
p0_nearest,1.4,0.2,0.27298177083333336,1.0,1.0,-0.8011824538361042,-0.11268711916259369,-0.29331931911098863,-0.7815978585208925,-0.20069010416666666,0.13954427083333334,21,5
p1_intercept,1.4,0.15,0.2990234375,1.0,1.0,-0.9265258766492209,0.13466338855614987,-0.058209754338937054,-0.6268066223616586,-0.22861979166666668,0.15373697916666668,21,5
