variant,mean_safe,mean_delta_safe,mean_branch_ratio,mean_branch_gap_abs,mean_topple_steps,score
soc_th024_cp010_rx003,0.3657552083333333,0.003776041666666674,1.109463276010683,0.10946327601068306,564.6166666666667,-0.007170285934401633
soc_th036_cp022_rx000,0.35416666666666663,-0.0078125,1.0662578206722109,0.06625782067221087,579.4,-0.014438282067221087
soc_th070_cp000_rx000_soft,0.35572916666666665,-0.0062500000000000056,1.0842684145722068,0.0842684145722068,211.96666666666667,-0.014676841457220686
soc_th030_cp022_rx000,0.35234374999999996,-0.009635416666666674,1.0685544016012594,0.06855440160125936,582.9333333333334,-0.01649085682679261
soc_th030_cp022_rx003,0.3516927083333333,-0.010286458333333331,1.0677213712503002,0.0677213712503002,578.0,-0.01705859545836335
soc_th036_cp022_rx003,0.35130208333333335,-0.01067708333333331,1.0660582489888975,0.06605824898889745,575.35,-0.017282908232223053
soc_th030_cp010_rx003,0.3516927083333333,-0.010286458333333331,1.1036503900797037,0.10365039007970367,561.35,-0.0206514973413037
soc_th050_cp005_rx000_soft,0.3559895833333333,-0.005989583333333326,1.152418786584633,0.15241878658463293,382.58333333333337,-0.021231461991796617
soc_th050_cp000_rx000_soft,0.3555989583333333,-0.006380208333333304,1.1517844529589794,0.15178445295897935,392.0333333333333,-0.02155865362923124
soc_th030_cp010_rx000,0.34986979166666665,-0.012109375000000006,1.1027363754305286,0.1027363754305286,566.0,-0.022383012543052867
soc_th036_cp010_rx003,0.3477864583333333,-0.014192708333333331,1.098843438154259,0.09884343815425889,555.2666666666667,-0.024077052148759222
soc_th060_cp005_rx000_soft,0.3510416666666667,-0.010937499999999989,1.1388820394220494,0.13888203942204935,337.4,-0.024825703942204923
soc_th024_cp022_rx003,0.343359375,-0.018619791666666663,1.0676828384038484,0.06768283840384837,586.2333333333333,-0.0253880755070515
soc_th024_cp022_rx000,0.342578125,-0.019401041666666646,1.0700982047177041,0.07009820471770412,587.6666666666667,-0.026410862138437057
soc_th036_cp010_rx000,0.343359375,-0.018619791666666635,1.1004783092584975,0.10047830925849754,559.35,-0.02866762259251639
soc_th024_cp010_rx000,0.334375,-0.027604166666666652,1.113148597557669,0.11314859755766893,575.05,-0.03891902642243354
