variant,speed_ratio,n_runs,safe_mean,safe_ci95,branch_ratio_mean,topple_steps_mean,avalanche_count_mean,activity_beta_mean,activity_beta_ci95,pooled_avalanche_samples,pooled_duration_samples,delta_safe_vs_baseline
baseline,1.1,20,0.37421875,0.017025928671344493,0.0,0.0,0.0,nan,0.0,0,0,0.0
baseline,1.3,20,0.341015625,0.019504663154374775,0.0,0.0,0.0,nan,0.0,0,0,0.0
soc_best_gain,1.1,20,0.37578125,0.0244116932403009,1.1244041143284107,563.65,15.85,1.2050698016475363,0.05809662156615395,317,317,0.0015625000000000222
soc_best_gain,1.3,20,0.34296875,0.022047649271625426,1.0933546939656624,567.8,11.3,1.297808827884792,0.05860283040837213,226,226,0.001953125
soc_branch_near1,1.1,20,0.373046875,0.0191083609652629,1.068727658129864,581.7,8.35,1.3761670416929528,0.04828111645224059,167,167,-0.001171874999999989
soc_branch_near1,1.3,20,0.327734375,0.024476692758296534,1.0582952576430738,580.75,7.0,1.4070413383960998,0.06935578403744473,140,140,-0.013281249999999967
soc_low_activity,1.1,20,0.367578125,0.03041220271388381,1.0649985428100615,127.45,93.55,0.6739348460313181,0.06591048993781637,1871,1871,-0.006640625000000011
soc_low_activity,1.3,20,0.34375,0.027256340552776842,1.109658188791808,295.95,123.6,0.9984572502426345,0.05154150781960761,2472,2472,0.002734375000000011
