variant,soc_enabled,soc_threshold,soc_neighbor_coupling,soc_align_relax,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_topple_steps,soc_topple_events_total,soc_topple_size_mean,soc_branch_ratio
soc_th024_cp022_rx000,True,0.24,0.22,0.0,1.3,29,0.2734375,0.21875,0.9957679664136934,0.5525031992673999,198.99999999999983,12.5,581.0,2983.0,5.134251290877797,1.0856058029473346
soc_th024_cp022_rx000,True,0.24,0.22,0.0,1.3,28,0.2890625,0.1328125,0.3206699794775519,7.80558449978645,198.99999999999983,0.0,557.0,3501.0,6.285457809694794,1.093437340359462
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,1,0.375,0.0,0.3899028587258124,2.212080205901018,198.99999999999983,7.5,593.0,4798.0,8.09106239460371,1.0411904483709655
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,0,0.28125,0.0,1.014979646237894,6.4921947975876595,198.99999999999983,7.5,600.0,5133.0,8.555,1.0467701948348873
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,2,0.3515625,0.0,0.39623707144350306,5.102291957210462,198.99999999999983,12.5,598.0,4198.0,7.0200668896321075,1.06789141342403
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,3,0.34375,0.0,0.15535115888783071,1.720412773408919,112.84486470074228,7.5,598.0,4689.0,7.84113712374582,1.0414624999041477
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,5,0.3359375,0.0,1.8362666886157823,1.9877464891846934,198.99999999999983,22.5,595.0,4631.0,7.783193277310924,1.05876254172471
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,4,0.3515625,0.0,0.932476802674786,5.619017812907982,198.99999999999983,17.5,594.0,4211.0,7.089225589225589,1.0742058583916507
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,6,0.328125,0.0078125,0.23465265296134163,7.746478990488953,198.99999999999983,22.5,597.0,4273.0,7.157453936348409,1.067763507955799
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,7,0.421875,0.0078125,0.5659753974110514,2.4708552527238696,198.99999999999983,7.5,587.0,4984.0,8.490630323679728,1.0631006177034374
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,8,0.453125,0.0,0.8849313725364417,2.8799898310519083,198.99999999999983,12.5,583.0,3802.0,6.521440823327616,1.0625425343360455
soc_th024_cp022_rx003,True,0.24,0.22,0.03,1.1,9,0.3671875,0.0,0.6698882999283744,2.58864842293813,198.99999999999983,7.5,583.0,4858.0,8.332761578044597,1.0556511401929036
