variant,speed_ratio,n_sizes,size_mean,size_p95,size_p99,n_durations,duration_mean,duration_p95
baseline,1.1,0,0.0,0.0,0.0,0,0.0,0.0
baseline,1.3,0,0.0,0.0,0.0,0,0.0,0.0
soc_best_gain,1.1,317,139.74132492113566,632.5999999999996,1183.84,317,35.5615141955836,146.99999999999994
soc_best_gain,1.3,226,203.01769911504425,938.5,1773.25,226,50.24778761061947,190.0
soc_branch_near1,1.1,167,367.0179640718563,1889.6999999999996,2846.7000000000016,167,69.66467065868264,298.5999999999999
soc_branch_near1,1.3,140,418.0,2342.3999999999987,2866.8699999999963,140,82.96428571428571,342.0499999999993
soc_low_activity,1.1,1871,1.5938001068947087,4.0,7.2999999999999545,1871,1.3623730625334045,3.0
soc_low_activity,1.3,2472,3.2220873786407767,12.0,23.0,2472,2.3944174757281553,8.0
