variant,speed_ratio,seed,safe_frac,soc_branch_ratio,soc_topple_steps,avalanche_count,avalanche_size_mean,avalanche_size_p95,avalanche_duration_mean,activity_beta
soc_best_gain,1.1,17,0.3203125,1.117390793300672,578.0,11,223.27272727272728,811.5,52.54545454545455,1.3375704164360303
soc_best_gain,1.1,18,0.3515625,1.1286027181435345,589.0,8,264.75,723.9499999999997,73.625,1.2968108955251132
soc_best_gain,1.1,19,0.4609375,1.0828690206241227,589.0,7,344.14285714285717,769.7999999999996,84.14285714285714,1.034234431815857
soc_best_gain,1.3,0,0.3515625,1.1057882715575023,586.0,7,329.85714285714283,1431.8999999999987,83.71428571428571,1.2742424899448492
soc_best_gain,1.3,1,0.296875,1.0750704145034042,583.0,6,396.5,1480.0,97.16666666666667,1.307111224012614
soc_best_gain,1.3,2,0.3984375,1.081827805710105,549.0,14,146.92857142857142,557.3999999999999,39.214285714285715,1.5910485314172624
soc_best_gain,1.3,3,0.3828125,1.106927748005815,539.0,19,94.89473684210526,494.2999999999996,28.36842105263158,1.1318044261091116
soc_best_gain,1.3,4,0.3359375,1.083197403116468,557.0,12,176.41666666666666,696.7499999999994,46.416666666666664,1.3372240459467668
soc_best_gain,1.3,5,0.2890625,1.0723080204362474,582.0,6,510.1666666666667,1386.0,97.0,1.3903898463240194
soc_best_gain,1.3,6,0.40625,1.0848983570036201,571.0,7,296.7142857142857,745.0999999999999,81.57142857142857,1.3357293572646074
soc_best_gain,1.3,7,0.3515625,1.0901778776778777,573.0,6,400.5,1260.5,95.5,1.2448436994281777
soc_best_gain,1.3,8,0.390625,1.100836273256202,563.0,11,228.63636363636363,1179.5,51.18181818181818,1.3095754134604694
soc_best_gain,1.3,9,0.3828125,1.0722450822711238,577.0,11,246.72727272727272,1009.5,52.45454545454545,1.5538206136543333
soc_best_gain,1.3,10,0.390625,1.0997867310036622,568.0,16,144.8125,443.0,35.5,1.3027476511591973
soc_best_gain,1.3,11,0.296875,1.07950685978795,588.0,7,414.57142857142856,1493.4999999999995,84.0,1.313105797952676
soc_best_gain,1.3,12,0.375,1.1295958635787533,527.0,26,61.26923076923077,162.0,20.26923076923077,1.0602682389802616
soc_best_gain,1.3,13,0.2265625,1.0995579456418423,584.0,9,314.55555555555554,796.1999999999999,64.88888888888889,1.2913651395596948
soc_best_gain,1.3,14,0.3984375,1.111534890685834,531.0,20,96.35,310.25000000000045,26.55,1.2029318534695772
soc_best_gain,1.3,15,0.3359375,1.0758590921748814,571.0,10,212.8,592.8999999999996,57.1,1.2360078618316024
soc_best_gain,1.3,16,0.3203125,1.0844069380911485,571.0,12,181.91666666666666,921.2499999999995,47.583333333333336,1.4111072323425087
soc_best_gain,1.3,17,0.265625,1.1103031317442564,570.0,13,164.76923076923077,536.3999999999991,43.84615384615385,1.289834472025792
soc_best_gain,1.3,18,0.3046875,1.1158268089615242,580.0,8,273.375,725.3,72.5,1.3248044310984504
soc_best_gain,1.3,19,0.359375,1.0874383641050305,586.0,6,372.8333333333333,692.0,97.66666666666667,1.0482142317138659
soc_branch_near1,1.1,0,0.3359375,1.0670214951621986,598.0,2,1717.5,2014.05,299.0,1.4334205393079429
soc_branch_near1,1.1,1,0.359375,1.0584658467949282,589.0,9,384.1111111111111,1976.7999999999988,65.44444444444444,1.3878509841990918
soc_branch_near1,1.1,2,0.375,1.0618089591567852,576.0,12,270.75,1264.2999999999984,48.0,1.6580243830411976
soc_branch_near1,1.1,3,0.46875,1.074687868820522,589.0,8,284.625,899.0499999999997,73.625,1.234948677216721
soc_branch_near1,1.1,4,0.3046875,1.1041324582350223,586.0,8,290.125,799.05,73.25,1.3553175134596516
soc_branch_near1,1.1,5,0.34375,1.0653962225028215,592.0,5,692.4,1469.2,118.4,1.420939071007254
soc_branch_near1,1.1,6,0.375,1.0707972485261217,569.0,15,173.93333333333334,697.999999999999,37.93333333333333,1.280536413558886
soc_branch_near1,1.1,7,0.375,1.0649511842286234,590.0,6,591.0,1741.25,98.33333333333333,1.4656033035658307
soc_branch_near1,1.1,8,0.328125,1.0514278514278514,593.0,3,1182.6666666666667,1666.1,197.66666666666666,1.237576035299044
soc_branch_near1,1.1,9,0.3984375,1.067930107669648,569.0,14,211.57142857142858,976.0999999999995,40.642857142857146,1.4419243316320458
soc_branch_near1,1.1,10,0.375,1.0650319125319125,591.0,4,877.0,2274.0499999999993,147.75,1.4100165699455858
soc_branch_near1,1.1,11,0.3203125,1.0747645576068452,578.0,16,165.125,898.5,36.125,1.2077646767969523
soc_branch_near1,1.1,12,0.3671875,1.0564099672503033,596.0,2,1822.5,3058.65,298.0,1.3242518751803298
soc_branch_near1,1.1,13,0.328125,1.060661122753747,584.0,7,473.57142857142856,1850.7999999999988,83.42857142857143,1.5087070339576976
soc_branch_near1,1.1,14,0.4375,1.051732856639,587.0,6,514.5,1179.25,97.83333333333333,1.451942009439883
soc_branch_near1,1.1,15,0.3984375,1.0712921262921264,556.0,9,283.3333333333333,1208.3999999999996,61.77777777777778,1.347449034844944
soc_branch_near1,1.1,16,0.3359375,1.0762098258490682,588.0,5,616.8,1642.3999999999996,117.6,1.3551952948314383
soc_branch_near1,1.1,17,0.3984375,1.0540633295859136,561.0,10,351.5,1610.2999999999975,56.1,1.364775523899006
soc_branch_near1,1.1,18,0.390625,1.097600613319974,564.0,16,140.875,430.25,35.25,1.2157775823579526
soc_branch_near1,1.1,19,0.4453125,1.0801676082438647,578.0,10,282.6,896.8999999999997,57.8,1.4213199803176015
soc_branch_near1,1.3,0,0.40625,1.0613517830680703,572.0,10,257.8,1143.1999999999987,57.2,1.4737132777248856
soc_branch_near1,1.3,1,0.328125,1.0587817382506635,567.0,10,292.0,1395.0999999999985,56.7,1.4234748305348626
soc_branch_near1,1.3,2,0.28125,1.062223514391882,589.0,4,692.25,1433.1499999999996,147.25,1.2479845418130733
soc_branch_near1,1.3,3,0.3046875,1.070897387717087,600.0,1,3149.0,3149.0,600.0,1.2683124259734024
soc_branch_near1,1.3,4,0.3984375,1.054112554112554,584.0,6,406.0,1123.75,97.33333333333333,1.3490439749854197
soc_branch_near1,1.3,5,0.296875,1.055285072354965,559.0,10,289.4,1467.8499999999974,55.9,1.3660622524965227
soc_branch_near1,1.3,6,0.2734375,1.0665747458836197,587.0,7,452.0,1787.1999999999985,83.85714285714286,1.4441633971932022
soc_branch_near1,1.3,7,0.3359375,1.0519750151753549,590.0,5,677.4,2222.9999999999995,118.0,1.2825645611762733
soc_branch_near1,1.3,8,0.2578125,1.0751454395158775,549.0,16,135.0,505.5,34.3125,1.1570879391401754
soc_branch_near1,1.3,9,0.328125,1.063362789088045,587.0,8,374.375,1097.05,73.375,1.6686771768535675
soc_branch_near1,1.3,10,0.3828125,1.063225603814364,591.0,5,683.0,2415.1999999999994,118.2,1.2878511936979804
soc_branch_near1,1.3,11,0.21875,1.0492536084863238,594.0,5,686.6,1713.6,118.8,1.4503738498861865
soc_branch_near1,1.3,12,0.390625,1.0540424067282084,537.0,14,191.14285714285714,819.2499999999994,38.357142857142854,1.8581895858288056
soc_branch_near1,1.3,13,0.3984375,1.0701002619288837,567.0,9,259.1111111111111,1074.3999999999996,63.0,1.3943923203648918
soc_branch_near1,1.3,14,0.3203125,1.0407618802820824,595.0,3,1067.3333333333333,2166.0,198.33333333333334,1.401247556238532
soc_branch_near1,1.3,15,0.390625,1.034976022285667,592.0,5,566.8,1905.5999999999997,118.4,1.334958779072399
soc_branch_near1,1.3,16,0.2578125,1.0582412422864684,598.0,2,1531.0,2375.2,299.0,1.3036185942989036
soc_branch_near1,1.3,17,0.2890625,1.0524081082260284,583.0,6,537.0,1952.5,97.16666666666667,1.5679342035983042
soc_branch_near1,1.3,18,0.375,1.0707936119625538,587.0,7,420.85714285714283,970.7999999999998,83.85714285714286,1.356398539676818
soc_branch_near1,1.3,19,0.3203125,1.0523923673027769,587.0,7,420.85714285714283,995.4999999999999,83.85714285714286,1.5047777673677871
soc_low_activity,1.1,0,0.40625,1.0416666666666665,93.0,73,1.4246575342465753,2.3999999999999915,1.273972602739726,0.565805082322587
soc_low_activity,1.1,1,0.3515625,1.0664556962025316,159.0,113,1.6283185840707965,3.3999999999999915,1.407079646017699,0.7484185635470179
soc_low_activity,1.1,2,0.2421875,1.0416666666666665,117.0,101,1.2673267326732673,3.0,1.1584158415841583,0.5004884622071517
soc_low_activity,1.1,3,0.453125,1.1,141.0,85,2.1294117647058823,4.0,1.6588235294117648,0.8385567070173179
