variant,speed_ratio,n_pairs,delta_safe_mean,delta_safe_ci95,delta_safe_ci95_lo,delta_safe_ci95_hi
soc_best_gain,1.1,20,0.0015625,0.029445801084030006,-0.027883301084030004,0.031008301084030007
soc_branch_near1,1.1,20,-0.001171875,0.025387440589784455,-0.026559315589784454,0.024215565589784455
soc_low_activity,1.1,20,-0.006640625,0.03641053294634229,-0.04305115794634229,0.02976990794634229
soc_best_gain,1.3,20,0.001953125,0.020540119837126555,-0.018586994837126555,0.022493244837126555
soc_branch_near1,1.3,20,-0.01328125,0.03351304258699141,-0.04679429258699141,0.020231792586991405
soc_low_activity,1.3,20,0.002734375,0.027622319497766248,-0.024887944497766247,0.03035669449776625
