speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95,rho1_P_mean,rho1_P_ci95,tau_P_ar1_mean,tau_P_ar1_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95,P_local_mean,P_local_mean_ci95,P_local_var,P_local_var_ci95,chi_local_mean,chi_local_ci95
0.9,0.0,80,0.36396484375,0.009528815791032893,0.00087890625,0.0005443685143340306,0.12706107242796977,0.008047139217047736,0.0026996307923499536,0.00040966674395114135,0.34555274142079406,0.05243734322574609,0.9891012455466409,0.0007311188584537823,190.69075554198452,6.087288255988719,6.15625,1.628284357406884,71.525,1.2479088280150816,0.9244465443654729,0.00744199664628816,0.040564813861541295,0.004190973116802808,5.192296174277286,0.5364445589507594
0.9,0.05,80,0.36796875,0.009458106066852679,0.00087890625,0.0005443685143340306,0.170526047371522,0.01335868750159326,0.005078260644041788,0.001029260954988821,0.6500173624373489,0.1317454022385691,0.9894401218674119,0.0005418151439074061,193.46672200731444,4.881116080627449,11.59375,1.199121835521333,67.1375,1.024126115589731,0.9355137087814924,0.005337964346915058,0.03261023620233677,0.00335716608658938,4.174110233899107,0.42971725908344066
0.9,0.1,80,0.3708984375,0.01052868725244699,0.00087890625,0.0005443685143340306,0.23483123727322788,0.019259649609871938,0.010642337839779943,0.002049261423565881,1.3622192434918328,0.26230546221643275,0.9897876680537572,0.00018600281839418323,195.82783063034918,2.64598326056005,13.875,1.3388024830450511,58.85,1.1778076823950763,0.9494589690169537,0.006169504097738146,0.02337755732365563,0.0035327238709288774,2.9923273374279207,0.4521886554788963
0.9,0.15,80,0.36875,0.011022496089611032,0.00087890625,0.0005443685143340306,0.3238575114772798,0.021314073507776286,0.018985858638245028,0.002745339645858607,2.4301899056953635,0.3514034746699017,0.9897972791661103,0.00021971902665714898,196.26257723438715,2.8075770110221963,16.6875,1.2624942348533614,48.4,1.2141471143110594,0.9628774703136592,0.0051921301671924,0.014320640804249685,0.0026540016456360308,1.8330420229439597,0.33971221064141194
0.9,0.2,80,0.373828125,0.011763962229320179,0.00087890625,0.0005443685143340306,0.36291047794445863,0.026203562428302945,0.026826408289684623,0.0034925886727899848,3.4337802610796317,0.44705135011711805,0.9899732316300209,5.246600515874645e-05,198.5590588147142,0.8642447231597483,17.75,1.315039105160476,37.95,1.0875434866905496,0.9742476317449427,0.004581341273154944,0.009059778184233536,0.0021871482370356063,1.1596516075818926,0.2799549743405576
0.9,0.25,80,0.37373046875,0.013648276360186382,0.00087890625,0.0005443685143340306,0.40747558362672825,0.027394324398777863,0.03240841117619864,0.0040823295290761275,4.1482766305534255,0.5225381797217443,0.99,0.0,198.9999999999998,6.2674765951413935e-15,18.625,1.3388024830450511,30.8375,1.1836475364340218,0.9822850141370655,0.0036743557018511642,0.00612014946399892,0.0017417364135390476,0.7833791313918618,0.2229422609329981
0.9,0.3,80,0.37021484375,0.01799573123388144,0.00087890625,0.0005443685143340306,0.4381234754780854,0.031295347458027124,0.033209426178355095,0.003948252255814612,4.250806550829452,0.5053762887442703,0.9899705672356067,5.768821821071046e-05,198.52353432723822,0.9338727186127346,19.375,1.452058229295858,24.225,0.9535776670458508,0.9839309586910929,0.004176736141517613,0.004600520951022448,0.0016533504110063221,0.5888666817308733,0.21162885260880923
0.9,0.35,80,0.38037109375,0.02013269953803938,0.0009765625,0.0005697595181951517,0.42968229317885137,0.02899674833395217,0.03228924166294697,0.004014764220994822,4.133022932857212,0.5138898202873372,0.99,0.0,198.9999999999998,6.2674765951413935e-15,21.5,1.9287380277650035,20.6375,0.8485213479035759,0.9876403432922087,0.003488268568105654,0.0032654127681731983,0.0013398971280847716,0.4179728343261694,0.17150683239485076
0.9,0.4,80,0.36767578125,0.01995268454350616,0.001171875,0.0006151593770216448,0.44341743462759453,0.02774945930996037,0.03582146640500925,0.004773802350253506,4.585147699841184,0.6110467008324487,0.989846351585609,0.00030115089220659656,197.62148493894284,2.701889519671644,23.6875,2.423456689513837,17.5,0.7478103056020001,0.9924541538394533,0.0027360780829340085,0.0016236422320335963,0.000943269953675163,0.20782620570030033,0.12073855407042086
0.9,0.45,80,0.3634765625,0.019087198974034842,0.00146484375,0.0006724265874530437,0.432933085775165,0.02938121086990705,0.03245900905861095,0.004323175004160921,4.154753159502202,0.5533664005325979,0.9897659763838582,0.00028833049632109924,196.26433085125382,3.2027975702769775,23.25,1.8621958591194212,15.0125,0.7854668832506844,0.9901723293701457,0.0031001033672796783,0.002539705439495607,0.0012910381470567708,0.3250822962554377,0.16525288282326667
