variant,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,soc_branch_ratio,soc_topple_steps,soc_pred_entropy_mean,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,1.1,2,0.4375,0.0078125,0.6118800961278241,0.016803829712340346,0.0,0.0,0.0,0.0,0.0
baseline,1.1,1,0.40625,0.0,0.5911627823576779,5.752870983378189,0.0,0.0,0.0,0.0,0.0
baseline,1.1,0,0.3046875,0.0,3.174622162637467,1.778463609712609,0.0,0.0,0.0,0.0,0.0
baseline,1.1,3,0.34375,0.015625,0.6659989370427161,2.0001288459974287,0.0,0.0,0.0,0.0,0.0
baseline,1.1,4,0.3984375,0.0,0.24857037121457048,5.160882857408254,0.0,0.0,0.0,0.0,0.0
baseline,1.1,7,0.40625,0.0078125,2.51925080217214,0.09955824125136155,0.0,0.0,0.0,0.0,0.0
baseline,1.1,6,0.328125,0.0078125,0.7883329846100217,0.6834628448770403,0.0,0.0,0.0,0.0,0.0
baseline,1.1,5,0.3125,0.015625,2.258072912206466,2.289296726112792,0.0,0.0,0.0,0.0,0.0
baseline,1.1,9,0.3671875,0.0078125,1.9710902438609181,0.36809260390023807,0.0,0.0,0.0,0.0,0.0
baseline,1.1,8,0.40625,0.0,1.6626087842237511,4.778083340411108,0.0,0.0,0.0,0.0,0.0
baseline,1.1,10,0.3203125,0.0,1.1862904661783094,2.4157279769676405,0.0,0.0,0.0,0.0,0.0
baseline,1.1,11,0.421875,0.0078125,0.5077860520471783,6.109139864108941,0.0,0.0,0.0,0.0,0.0
baseline,1.1,12,0.3984375,0.0,1.2826940448248294,0.3362000399490335,0.0,0.0,0.0,0.0,0.0
baseline,1.1,13,0.3515625,0.0,0.5379122432910084,2.615606681325891,0.0,0.0,0.0,0.0,0.0
baseline,1.1,15,0.375,0.0234375,0.8510161262642404,1.9737632997894816,0.0,0.0,0.0,0.0,0.0
baseline,1.1,14,0.4140625,0.015625,3.3557803858486945,5.637837261964448,0.0,0.0,0.0,0.0,0.0
baseline,1.1,17,0.3984375,0.0,0.35300188739171545,0.27183690069622723,0.0,0.0,0.0,0.0,0.0
baseline,1.1,16,0.3515625,0.0078125,3.004179733726111,2.0593780391202166,0.0,0.0,0.0,0.0,0.0
baseline,1.1,18,0.359375,0.0078125,0.868443317197181,2.5867694488288238,0.0,0.0,0.0,0.0,0.0
baseline,1.1,20,0.375,0.0,0.13332354604338575,3.6510270165063865,0.0,0.0,0.0,0.0,0.0
baseline,1.1,19,0.3828125,0.0078125,1.1379581473523026,4.175316814194511,0.0,0.0,0.0,0.0,0.0
baseline,1.1,22,0.4296875,0.0078125,1.4829103148031868,2.336797830819833,0.0,0.0,0.0,0.0,0.0
baseline,1.1,23,0.421875,0.0,2.4963926250061936,0.8934231454122123,0.0,0.0,0.0,0.0,0.0
baseline,1.1,21,0.3515625,0.0078125,1.278374663563318,0.010470185532701964,0.0,0.0,0.0,0.0,0.0
baseline,1.1,24,0.4140625,0.0078125,0.38770330258538926,0.10087333282077024,0.0,0.0,0.0,0.0,0.0
baseline,1.1,25,0.3515625,0.0078125,5.387956594248408,1.5904406543825271,0.0,0.0,0.0,0.0,0.0
baseline,1.1,27,0.40625,0.015625,3.6389083389945722,0.20272889673274544,0.0,0.0,0.0,0.0,0.0
baseline,1.1,26,0.421875,0.0078125,0.49031442907823825,1.1018781186822963,0.0,0.0,0.0,0.0,0.0
baseline,1.1,28,0.3984375,0.0078125,0.6888666745048289,0.0020829161911680993,0.0,0.0,0.0,0.0,0.0
baseline,1.3,1,0.3046875,0.21875,3.4531701153443093,0.0007603257528767354,0.0,0.0,0.0,0.0,0.0
baseline,1.1,29,0.4609375,0.0,1.8536251336145688,0.8912995400824936,0.0,0.0,0.0,0.0,0.0
baseline,1.3,0,0.3046875,0.140625,1.291610031218876,1.3177955171829356,0.0,0.0,0.0,0.0,0.0
baseline,1.3,2,0.328125,0.2890625,0.5659261609229339,0.25847880183525346,0.0,0.0,0.0,0.0,0.0
baseline,1.3,3,0.34375,0.15625,1.4269315437075092,0.044583761672148614,0.0,0.0,0.0,0.0,0.0
