variant,speed_ratio,n,safe_mean,safe_ci95,captured_mean,chi_mean,chi_local_mean,branch_ratio_mean,topple_steps_mean,pred_entropy_mean,pred_entropy_var_mean,entropy_fluct_mean,delta_safe_vs_baseline,delta_pred_entropy_var_vs_baseline
baseline,1.1,30,0.38385416666666666,0.014136187314350302,0.006510416666666667,1.5138342701005738,2.0630080615623236,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1.3,30,0.34010416666666665,0.015758914170656637,0.20651041666666667,1.5397370627039917,1.322105675635106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soc_v3_entropy_high,1.1,30,0.3684895833333333,0.0238023615705964,0.05286458333333333,2.7780310102446673,0.6481485078912727,1.0282931229965415,600.0,0.6881753703312214,0.02943869972721371,0.05952390892489436,-0.015364583333333348,0.02943869972721371
soc_v3_entropy_high,1.3,30,0.278125,0.023637801182761205,0.34088541666666666,3.2677642589210905,0.35935628796070485,1.0434421220364587,598.1666666666666,0.6728487656982123,0.029177076773314447,0.056553774270256145,-0.06197916666666664,0.029177076773314447
soc_v3_entropy_mid,1.1,30,0.38333333333333336,0.030738606333091386,0.034895833333333334,2.2528822925636747,0.7509083690367672,1.030178146830598,599.9333333333333,0.6590019394511054,0.03985551035976418,0.07805093292209017,-0.0005208333333333037,0.03985551035976418
soc_v3_entropy_mid,1.3,30,0.29739583333333336,0.025852386547588577,0.3359375,2.55829462553027,0.442601387988263,1.047434514486552,599.3333333333334,0.6372275106147522,0.0403870081930305,0.07486080575733686,-0.04270833333333329,0.0403870081930305
soc_v3_no_entropy,1.1,30,0.15755208333333334,0.01838501981760493,0.18203125,4.143272511831137,0.3394034230689042,1.077211199820906,518.8666666666667,0.603166939989124,0.04019467643016359,0.08742076794919193,-0.22630208333333332,0.04019467643016359
soc_v3_no_entropy,1.3,30,0.12760416666666666,0.018432600491943448,0.4674479166666667,3.8109032718896114,0.07563329965283055,1.081637118284605,494.7,0.5747407822798033,0.039194340373962494,0.08205566275514412,-0.2125,0.039194340373962494
