variant,speed_ratio,n_pairs,delta_safe_mean,delta_safe_ci95,delta_safe_ci95_lo,delta_safe_ci95_hi,delta_pred_entropy_var_mean,delta_pred_entropy_var_ci95
soc_v3_entropy_high,1.1,30,-0.015364583333333333,0.029627372122907614,-0.04499195545624095,0.014262788789574281,0.02943869972721371,0.0004703269213828544
soc_v3_entropy_mid,1.1,30,-0.0005208333333333333,0.036494883977256455,-0.03701571731058979,0.035974050643923124,0.03985551035976417,0.0006013859309649028
soc_v3_no_entropy,1.1,30,-0.22630208333333332,0.024663178599318603,-0.2509652619326519,-0.20163890473401472,0.040194676430163584,0.0007512786181804992
soc_v3_entropy_high,1.3,30,-0.06197916666666667,0.027124215938488946,-0.08910338260515561,-0.03485495072817772,0.02917707677331445,0.0005393905865793193
soc_v3_entropy_mid,1.3,30,-0.042708333333333334,0.030125768062258532,-0.07283410139559186,-0.012582565271074802,0.0403870081930305,0.0005755201916014771
soc_v3_no_entropy,1.3,30,-0.2125,0.023726567009161474,-0.23622656700916148,-0.1887734329908385,0.039194340373962494,0.0012087519359239203
