variant,speed_ratio,n_pairs,delta_safe_mean,delta_safe_ci95,delta_safe_lo,delta_safe_hi,delta_varH_mean,delta_varH_ci95,delta_circ_mean,delta_circ_ci95
soc_v3_entropy_mid,1.1,20,0.01328125,0.04468605134291584,-0.03140480134291584,0.05796730134291584,0.21368033197972364,0.3655044206336,0.0005127235399372155,0.002256124029834196
soc_v3_entropy_high,1.1,20,-0.007421875,0.03670085632734421,-0.04412273132734421,0.02927898132734421,0.2845336663458716,0.2254115125868637,0.0005946851044786872,0.0021942901953120974
soc_v3_entropy_mid,1.3,20,-0.03203125,0.03611488615593189,-0.06814613615593189,0.004083636155931894,0.5418829383426826,0.3339214575185299,0.0017893895965476968,0.0023139922418511823
soc_v3_entropy_high,1.3,20,-0.063671875,0.03282802949396162,-0.09649990449396162,-0.03084384550603838,0.37686007983127423,0.3288979532783111,0.001546103356695433,0.0023022454144143514
