variant,speed_ratio,w_align,n,safe_mean,safe_ci95,chi_mean,chi_ci95,chi_local_mean,chi_local_ci95,tau_P_ar1_mean,tau_P_ar1_ci95
p0_nearest,1.0,0.0,60,0.35572916666666665,0.012018926126988138,0.4043900830286579,0.10782569072384564,4.533535254885951,0.5324608830898702,183.97904360667835,9.105538976684764
p0_nearest,1.0,0.05,60,0.36328125,0.012720559221117284,1.1547364291079405,0.22936387451482954,3.6425448923205157,0.5843651316953081,196.37945622840496,3.2063398082429644
p0_nearest,1.0,0.1,60,0.3639322916666667,0.01285415341440384,2.9073504964447126,0.5163227819771984,2.2695166095507178,0.48191850425834526,197.19563782809516,2.909789444855066
p0_nearest,1.0,0.15,60,0.3712239583333333,0.013971187159551486,5.197054927340839,0.7504126262065207,1.10547935106877,0.3271285349993854,196.85638393681876,2.945655472128053
p0_nearest,1.0,0.2,60,0.37135416666666665,0.014229428392800204,5.418575427179209,0.6759008432853506,0.6954501379379054,0.2547013192378484,198.99999999999983,0.0
p0_nearest,1.0,0.25,60,0.376171875,0.017378417414361174,5.9111302854713745,0.7767380168267645,0.3416130211353024,0.1666508518684612,196.676175231824,3.5823871973816814
p0_nearest,1.0,0.3,60,0.3463541666666667,0.018446473126903232,4.907290782166516,0.5939164243069489,0.30988812229747537,0.2018180293069936,198.7609948627481,0.4684500690133435
p0_nearest,1.0,0.35,60,0.36432291666666666,0.02147999260859458,6.140834561104592,0.7358737102135217,0.2575514769806648,0.23721451937960214,198.1625454884339,1.1803059997589798
p0_nearest,1.0,0.4,60,0.37200520833333334,0.022202130594979805,5.467688139686544,0.786513227575028,0.14864573895543423,0.09568426455820661,196.79298741332792,2.721642893736979
p0_nearest,1.0,0.45,60,0.37278645833333335,0.02516124629261235,4.401513970220892,0.6346526363588517,0.30892267639476306,0.25295331197263377,196.86145677291455,2.9468289770566938
p0_nearest,1.0,0.5,60,0.25494791666666666,0.015463010881558202,4.085989036315685,0.6200687854870092,0.09466842271082157,0.055025582474434974,198.76245653517265,0.4655851910612574
p0_nearest,1.0,0.55,60,0.19713541666666667,0.019122420132590003,4.407757127829736,0.7184786111013428,0.1424910411447666,0.09627749803494898,197.5383954635663,2.0133467778856744
