policy,speed_ratio,corr_safe_chi,corr_safe_chi_local,near_critical_gain_chi,near_critical_gain_chi_local,best_safe_w_align,best_safe,best_chi_w_align,best_chi_local_w_align,n_points,quartile_points
p0_nearest,0.9,-0.6068536827949935,0.3505416174675049,-0.22934895833333335,0.17679687500000002,0.35,0.3826822916666667,0.85,0.0,21,5
p0_nearest,1.1,-0.5849042822915018,0.02034077295503877,-0.23450520833333338,0.16734375000000004,0.25,0.346875,0.95,1.0,21,5
p0_nearest,1.3,-0.7431895707320508,-0.13484261112656193,-0.18308593750000005,0.14860677083333335,0.15,0.2965494791666667,1.0,1.0,21,5
p0_nearest,1.4,-0.8011824538361043,-0.1126871191625937,-0.20069010416666666,0.13954427083333334,0.2,0.27298177083333336,1.0,1.0,21,5
p1_intercept,0.9,-0.8420790710822845,0.432772965274708,-0.2733854166666667,0.19626302083333338,0.3,0.38450520833333335,0.9,0.0,21,5
p1_intercept,1.1,-0.8605949557834893,0.3251061729395198,-0.2851171874999999,0.19388020833333336,0.15,0.3814453125,1.0,0.0,21,5
p1_intercept,1.3,-0.9099890739825911,0.1870312307358379,-0.26078124999999996,0.194296875,0.15,0.3359375,0.95,1.0,21,5
p1_intercept,1.4,-0.9265258766492208,0.1346633885561499,-0.22861979166666668,0.15373697916666668,0.15,0.2990234375,1.0,1.0,21,5
