policy,speed_ratio,corr_safe_pred_entropy_var,highQ_minus_lowQ_safe,gain_ci95_lo,gain_ci95_hi,n_runs
p0_nearest,1.1,0.02828616938722416,0.031178977272727282,0.015974786931818183,0.04616654829545455,440
p0_nearest,1.3,0.07130099152633511,0.029758522727272724,0.01491299715909091,0.04517045454545455,440
p1_intercept,1.1,0.15749843104336447,0.09453124999999998,0.07520951704545455,0.11470170454545454,440
p1_intercept,1.3,0.12001663283609348,0.05198863636363635,0.03259765625,0.07215909090909091,440
