speed_ratio,w_align,safe_p0,safe_p1,delta_safe_p1_minus_p0,chi_local_p0,chi_local_p1,chi_local_delta
0.9,0.0,0.3636067708333333,0.36106770833333335,-0.0025390624999999667,5.191436250525917,5.426537958836038,0.235101708310121
0.9,0.05,0.3630859375,0.3649088541666667,0.001822916666666674,4.297358530668843,4.69963069857252,0.4022721679036767
0.9,0.1,0.3671875,0.37454427083333336,0.007356770833333359,3.0078775579906742,3.413285699905566,0.40540814191489183
0.9,0.15,0.3699869791666667,0.3736979166666667,0.003710937500000011,1.7736756053483143,2.2020118783429643,0.42833627299465005
0.9,0.2,0.3748697916666667,0.3728515625,-0.002018229166666663,1.0958526547690148,1.8655762223357466,0.7697235675667318
0.9,0.25,0.37649739583333336,0.3776041666666667,0.001106770833333326,0.8533293313673501,1.2917261200283845,0.4383967886610344
0.9,0.3,0.3694661458333333,0.38450520833333335,0.015039062500000033,0.6643083110785309,1.0778505388355295,0.41354222775699856
0.9,0.35,0.3826822916666667,0.3689453125,-0.013736979166666663,0.4033574542333181,0.6988816367942126,0.29552418256089447
0.9,0.4,0.373046875,0.36953125,-0.003515625000000022,0.2331488883894693,0.4415723623197835,0.20842347393031418
0.9,0.45,0.36419270833333334,0.3729166666666667,0.008723958333333337,0.24751502210491796,0.33178398412420246,0.0842689620192845
0.9,0.5,0.2604166666666667,0.25852864583333335,-0.001888020833333337,0.1902783288897749,0.40699445039992643,0.21671612151015154
0.9,0.55,0.1900390625,0.1845703125,-0.0054687499999999944,0.07479166761629497,0.12559380631056227,0.05080213869426731
0.9,0.6,0.17994791666666668,0.1615234375,-0.018424479166666674,0.12258518839361358,0.10728075103325795,-0.015304437360355638
0.9,0.65,0.16875,0.157421875,-0.011328125000000022,0.05532054317381193,0.11903803250098113,0.0637174893271692
0.9,0.7,0.15638020833333333,0.14147135416666667,-0.014908854166666652,0.04788469793619319,0.07541268580900144,0.027527987872808253
0.9,0.75,0.14641927083333334,0.12955729166666666,-0.01686197916666668,0.05859153546468427,0.0652150588969967,0.006623523432312435
0.9,0.8,0.13743489583333332,0.11315104166666666,-0.02428385416666666,0.023491821241540138,0.06094850654290913,0.03745668530136899
0.9,0.85,0.12727864583333334,0.10462239583333334,-0.022656250000000003,0.028241658425556673,0.05174228350114223,0.02350062507558556
0.9,0.9,0.1275390625,0.1005859375,-0.026953124999999994,0.04195892914699207,0.06785118862000719,0.02589225947301512
0.9,0.95,0.10091145833333333,0.09518229166666667,-0.00572916666666666,0.019501126044733367,0.057542805268368545,0.038041679223635175
0.9,1.0,0.06966145833333333,0.0501953125,-0.01946614583333333,3.416623332857285,3.4813514553393046,0.06472812248201976
1.1,0.0,0.3270182291666667,0.36497395833333335,0.037955729166666674,4.543848005138127,5.452320948427041,0.9084729432889143
1.1,0.05,0.3299479166666667,0.3631510416666667,0.033203125,4.217742789581222,4.72712451156032,0.5093817219790981
1.1,0.1,0.3390625,0.36907552083333334,0.030013020833333348,2.654313144613415,3.367115751130527,0.712802606517112
1.1,0.15,0.34544270833333335,0.3814453125,0.036002604166666674,1.627465075266655,2.229120086331287,0.6016550110646319
1.1,0.2,0.3409505208333333,0.36940104166666665,0.028450520833333326,1.0900101130000863,1.904447075469606,0.8144369624695196
1.1,0.25,0.346875,0.3728515625,0.025976562500000022,0.5880237270567222,1.3088714807791073,0.7208477537223851
1.1,0.3,0.34088541666666666,0.3734375,0.032552083333333315,0.38437257490782645,0.8073664512356548,0.4229938763278283
1.1,0.35,0.3444010416666667,0.37721354166666665,0.03281249999999997,0.30726361601563923,0.6176805361944441,0.31041692017880484
1.1,0.4,0.3348307291666667,0.373828125,0.03899739583333334,0.305687034315506,0.6429052641619823,0.33721822984647637
1.1,0.45,0.33346354166666664,0.36595052083333335,0.03248697916666671,0.23092092977374615,0.4407330800906859,0.20981215031693976
1.1,0.5,0.24108072916666667,0.2552734375,0.014192708333333304,0.0914046554560563,0.22410045003637952,0.1326957945803232
1.1,0.55,0.1806640625,0.18795572916666667,0.0072916666666666685,0.1338085590525661,0.23734446845452345,0.10353590940195734
1.1,0.6,0.1599609375,0.16829427083333334,0.008333333333333331,0.17342425538340772,0.2375556442930685,0.06413138890966077
1.1,0.65,0.14615885416666666,0.14876302083333334,0.002604166666666685,0.1511040519175067,0.06254023230740385,-0.08856381961010285
1.1,0.7,0.133203125,0.12604166666666666,-0.007161458333333343,0.048269176515635843,0.07576167206488439,0.027492495549248548
1.1,0.75,0.12194010416666666,0.11705729166666666,-0.0048828125,0.04565305836189283,0.027431880327551627,-0.018221178034341205
1.1,0.8,0.11536458333333334,0.10891927083333333,-0.006445312500000008,0.0580075963700836,0.06213968348504721,0.004132087114963615
1.1,0.85,0.10638020833333334,0.09270833333333334,-0.013671875,0.05274095942894201,0.04033432250125106,-0.01240663692769095
1.1,0.9,0.102734375,0.093359375,-0.009375000000000008,0.02911074728172874,0.0629385304475422,0.03382778316581346
1.1,0.95,0.09954427083333334,0.08463541666666667,-0.014908854166666666,0.05651216791247881,0.012702460716423355,-0.04380970719605545
1.1,1.0,0.05904947916666667,0.04283854166666667,-0.0162109375,8.648213584806854,5.2224677086718305,-3.4257458761350232
1.3,0.0,0.275390625,0.33209635416666666,0.05670572916666666,3.0861743148476344,3.8839778102559754,0.7978034954083411
1.3,0.05,0.28567708333333336,0.3274739583333333,0.041796874999999956,2.4860440995581703,3.9331739292686,1.4471298297104296
1.3,0.1,0.2857421875,0.33515625,0.04941406249999997,1.6441142748998614,2.880731146080169,1.2366168711803074
