variant,gain,n,safe_mean,safe_ci95,chi_mean,chi_ci95,chi_local_mean,chi_local_ci95,varh_mean,varh_ci95,entropy_fluct_mean,entropy_fluct_ci95,corr_safe_varh
baseline,0.0,120,0.33736979166666664,0.0089916532397874,1.7547560357767937,0.26498789741347334,1.6443906588451143,0.30835337078010217,0.0,0.0,0.0,0.0,nan
baseline,0.25,120,0.3443359375,0.008913115138218596,1.8754918950457464,0.21972824675315886,1.6149530157220895,0.32332175402648555,0.0,0.0,0.0,0.0,nan
baseline,0.5,120,0.33346354166666664,0.008148652197844868,1.674581872973723,0.23466619941885425,1.6670653017855728,0.30970090011202295,0.0,0.0,0.0,0.0,nan
baseline,0.75,120,0.3292317708333333,0.009286858280079548,1.5251019748228325,0.23149612206206976,2.111815872929967,0.3527561035668989,0.0,0.0,0.0,0.0,nan
baseline,1.0,120,0.3359375,0.008842533086787483,1.56820409653281,0.21303588533445708,1.712151917260052,0.32549374270390513,0.0,0.0,0.0,0.0,nan
soc_varh_tuned,0.0,120,0.33359375,0.009540305285404943,3.0678761258356477,0.3811093182932458,1.0363091819727013,0.2431028168021966,0.03994983045146434,0.0002735351161483588,0.07628203454556585,0.0005391740179178145,-0.11836840713126631
soc_varh_tuned,0.25,120,0.32591145833333335,0.010191994430548142,3.1031429531709427,0.40689631258879205,0.8151298080281716,0.20932396446210938,0.04016998691596884,0.0002921330735644245,0.07591038481852933,0.0005033432768021642,0.01895932986783656
soc_varh_tuned,0.5,120,0.3197265625,0.009300756560663221,2.7018691170131577,0.3230661050578275,1.0155379867614964,0.3000105067274521,0.040594460937540607,0.0002894679072566889,0.07676658014846585,0.00048483927241259485,-0.05193534772443012
soc_varh_tuned,0.75,120,0.3360677083333333,0.01020294358329943,2.61247278571208,0.38178047487314226,1.1989924734364488,0.2734907613761744,0.04062782769767364,0.00032007582138878095,0.07678630267760649,0.0005200785386227092,-0.11866168359996195
soc_varh_tuned,1.0,120,0.3319010416666667,0.010994587029379005,2.990546503282825,0.36972282786687694,0.9298250621895636,0.28108058701924604,0.040867911821906765,0.0003066274078880651,0.0765473166554475,0.00048454532929060657,-0.053805613735739014
