variant,gain,seed,safe_frac,chi,chi_local,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,0.0,1,0.3359375,0.6837141036763932,4.635405040602261,0.0,0.0
baseline,0.0,0,0.40625,0.5409212059570838,5.185866500080865,0.0,0.0
baseline,0.0,3,0.3359375,0.7673415081140167,4.055315590381701,0.0,0.0
baseline,0.0,2,0.3515625,1.7065615186174306,0.027420511319061196,0.0,0.0
baseline,0.0,4,0.453125,0.3492352319152145,0.06857908176158876,0.0,0.0
baseline,0.0,5,0.390625,0.844851657736607,0.956903728512617,0.0,0.0
baseline,0.0,6,0.3359375,6.678829812234201,0.2285055366587346,0.0,0.0
baseline,0.0,7,0.2578125,0.3390959478972037,3.4214827726687966,0.0,0.0
baseline,0.0,8,0.28125,2.163178301503945,0.80353006547507,0.0,0.0
baseline,0.0,9,0.34375,3.4145025526012818,1.4490421134036133,0.0,0.0
baseline,0.0,10,0.375,3.852367040602866,0.25847826448644395,0.0,0.0
baseline,0.0,11,0.3046875,0.8740579380731507,0.34297161435459295,0.0,0.0
baseline,0.0,12,0.359375,2.357894644893814,1.8106757636209405,0.0,0.0
baseline,0.0,14,0.484375,0.7951615367894248,1.1154118954119265,0.0,0.0
baseline,0.0,13,0.359375,2.955808264722005,0.0030393467664794308,0.0,0.0
baseline,0.0,15,0.3515625,0.7080561966029228,2.989999109647386,0.0,0.0
baseline,0.0,17,0.3359375,4.559124106774848,3.6946703505127886e-05,0.0,0.0
baseline,0.0,16,0.3515625,2.092990359316013,2.496250087023056,0.0,0.0
baseline,0.0,19,0.359375,0.5675927804686874,0.9189083846086811,0.0,0.0
baseline,0.0,18,0.296875,2.628106618958838,0.7065628228441382,0.0,0.0
baseline,0.0,21,0.34375,0.2796586120864211,0.03070299782835937,0.0,0.0
baseline,0.0,20,0.28125,3.822874612202212,0.006008393890410533,0.0,0.0
baseline,0.0,22,0.28125,1.3456803648841775,1.2375500733556242,0.0,0.0
baseline,0.0,23,0.296875,0.8401356926041866,0.1922010410011777,0.0,0.0
baseline,0.0,24,0.3515625,1.5083053988311104,2.653188740287213,0.0,0.0
baseline,0.0,25,0.328125,3.5190081638466206,0.008919370482666455,0.0,0.0
baseline,0.0,27,0.4140625,1.6287935599793728,0.04240237845142975,0.0,0.0
baseline,0.0,26,0.2109375,0.18739255405621125,0.5316644423857357,0.0,0.0
