gain,seed,delta_safe,varh,safe_soc,safe_base
0.0,87,-0.03125,0.03932195504491729,0.28125,0.3125
0.0,88,0.0390625,0.0395608537808652,0.390625,0.3515625
0.0,91,0.078125,0.04103912483501976,0.3984375,0.3203125
0.0,89,0.078125,0.03943728471306792,0.3125,0.234375
0.0,90,0.0,0.04012102101249818,0.3671875,0.3671875
0.0,92,-0.0546875,0.03906817458310132,0.28125,0.3359375
0.0,93,0.0390625,0.03885333691751565,0.34375,0.3046875
0.0,94,-0.0234375,0.037790074263459456,0.3125,0.3359375
0.0,95,-0.046875,0.03934732777235994,0.3125,0.359375
0.0,96,-0.015625,0.03980257252115006,0.375,0.390625
0.0,98,-0.03125,0.044642185616762746,0.3125,0.34375
0.0,99,0.1171875,0.04204901863947213,0.3984375,0.28125
0.0,97,-0.09375,0.04143152231190246,0.2890625,0.3828125
0.0,100,0.125,0.037927385894775005,0.4453125,0.3203125
0.0,101,0.0234375,0.040928716318408845,0.3671875,0.34375
0.0,102,0.0078125,0.04040442510705329,0.2265625,0.21875
0.0,103,0.0,0.04126507472916276,0.359375,0.359375
0.0,104,-0.015625,0.03959114931372076,0.3671875,0.3828125
0.0,107,0.0390625,0.039716141230525366,0.40625,0.3671875
0.0,105,-0.0234375,0.041928171014621526,0.28125,0.3046875
0.0,108,-0.0859375,0.0398865931233585,0.34375,0.4296875
0.0,106,0.0078125,0.039620144386494416,0.34375,0.3359375
0.0,109,-0.0546875,0.04081461013620761,0.296875,0.3515625
0.0,110,0.0703125,0.03846010248282248,0.3515625,0.28125
0.0,111,-0.0390625,0.038690265165561,0.3125,0.3515625
0.0,113,-0.0078125,0.037251743973702185,0.34375,0.3515625
0.0,112,-0.1015625,0.039506434609537,0.234375,0.3359375
0.0,114,0.0859375,0.04028132285899506,0.390625,0.3046875
0.0,115,-0.0390625,0.03865733759704778,0.328125,0.3671875
0.0,116,0.0546875,0.0374487353368662,0.3984375,0.34375
0.0,117,0.015625,0.03811425241402826,0.3359375,0.3203125
0.0,118,0.078125,0.039128811662884004,0.4140625,0.3359375
0.0,119,-0.0859375,0.03946403105567909,0.3046875,0.390625
0.25,2,0.0234375,0.04225492078793178,0.328125,0.3046875
0.25,4,0.0078125,0.03884655337200989,0.375,0.3671875
0.25,5,0.0234375,0.039370224567274244,0.4140625,0.390625
0.25,0,-0.046875,0.04175727320754238,0.3203125,0.3671875
0.25,6,0.0390625,0.041193699371599425,0.3828125,0.34375
0.25,1,0.0390625,0.04061661570456688,0.4609375,0.421875
0.25,3,-0.015625,0.03919678254185456,0.265625,0.28125
0.25,7,0.03125,0.0422563946545824,0.2890625,0.2578125
0.25,8,0.03125,0.038342236621421624,0.34375,0.3125
0.25,9,0.015625,0.0407696343233477,0.3828125,0.3671875
0.25,11,-0.015625,0.04044198953545333,0.3046875,0.3203125
0.25,10,0.0625,0.042850597273782105,0.34375,0.28125
0.25,12,0.0078125,0.04192615779869462,0.3671875,0.359375
0.25,13,-0.125,0.03700747302201495,0.2734375,0.3984375
0.25,15,-0.1875,0.04252803211862937,0.2421875,0.4296875
0.25,14,-0.1640625,0.03664044287045802,0.265625,0.4296875
0.25,16,0.0078125,0.040032395189971516,0.3515625,0.34375
0.25,17,-0.0234375,0.04268187868915473,0.390625,0.4140625
0.25,19,0.078125,0.0399398090391063,0.3515625,0.2734375
0.25,21,0.0,0.04153970614724507,0.3671875,0.3671875
0.25,18,0.1171875,0.040358480725993934,0.375,0.2578125
0.25,20,-0.078125,0.03928922630955258,0.296875,0.375
0.25,22,-0.1015625,0.04125158085717588,0.2578125,0.359375
0.25,23,0.0625,0.03824290625010476,0.40625,0.34375
0.25,24,-0.0546875,0.039637102954171846,0.2578125,0.3125
0.25,25,-0.0234375,0.04083399923199384,0.2578125,0.28125
0.25,27,-0.109375,0.03856138643641911,0.3125,0.421875
0.25,28,-0.0078125,0.04121823420836461,0.3359375,0.34375
0.25,26,0.0078125,0.03905928791568791,0.265625,0.2578125
0.25,30,0.0390625,0.03874041124295835,0.328125,0.2890625
0.25,29,-0.140625,0.040524750047242444,0.2109375,0.3515625
0.25,31,0.0703125,0.03989286042850058,0.3203125,0.25
0.25,33,0.0234375,0.043180684670504434,0.3515625,0.328125
