variant,speed_ratio,n,safe_mean,safe_ci95,captured_mean,chi_mean,chi_local_mean,tau_mean,xi_mean,branch_ratio_mean,topple_steps_mean,pred_entropy_var_mean,entropy_fluct_mean,delta_safe_vs_baseline,delta_pred_entropy_var_vs_baseline
baseline,1.0,80,0.37919921875,0.012056286039729795,0.00283203125,1.3648672779801736,2.598331147924461,194.4668141505244,15.0625,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1.1,80,0.3845703125,0.010916211729319537,0.0064453125,1.5106493343871896,2.276989356916853,191.31586045721164,16.3125,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1.2,80,0.36376953125,0.013057583369541213,0.050390625,1.4145749852620053,2.413818785735896,195.39661951292456,15.75,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1.3,80,0.33916015625,0.010905054290919553,0.20634765625,1.5542841855765663,1.7569290853979673,191.45785066154104,15.625,0.0,0.0,0.0,0.0,0.0,0.0
baseline,1.4,80,0.30107421875,0.009345023845377599,0.376953125,1.523308886429235,1.3909902907300378,190.13423169625736,15.1875,0.0,0.0,0.0,0.0,0.0,0.0
soc_v3_eg02_th028,1.0,80,0.26279296875,0.017029166094991572,0.02236328125,3.0792453219436124,0.24603479158671893,195.5352981069588,23.0,1.2622633848432332,577.75,0.04114713741020506,0.07278315043149501,-0.11640624999999999,0.04114713741020506
soc_v3_eg02_th028,1.1,80,0.27109375,0.01728895938436277,0.08466796875,3.0322160221530945,0.3353744809378603,196.4290685785805,22.6875,1.2451501626762116,580.6,0.04140554797242171,0.07279747072590739,-0.11347656249999999,0.04140554797242171
soc_v3_eg02_th028,1.2,80,0.23310546875,0.016805919098626887,0.23095703125,3.435799298702763,0.2720339086790924,198.60055196028807,25.0,1.2391556297446378,573.4375,0.04096628391002736,0.06916460400519822,-0.1306640625,0.04096628391002736
soc_v3_eg02_th028,1.3,80,0.21826171875,0.014399336323688165,0.3896484375,3.9619980062142295,0.1604030352783405,197.91498503702016,23.6875,1.2423120342411165,558.9,0.04026473738366525,0.06818538142239913,-0.12089843750000001,0.04026473738366525
soc_v3_eg02_th028,1.4,80,0.17734375,0.013821035223024209,0.534375,4.02130770415182,0.4044728409305979,194.33078753450565,23.9375,1.2456527298999667,547.625,0.04007280312633795,0.06660225028786036,-0.12373046875000002,0.04007280312633795
soc_v3_eg02_th032,1.0,80,0.25556640625,0.019325217243636193,0.02783203125,3.160541193788295,0.4129066421172515,198.7895375267915,21.0625,1.2669790183729717,570.3875,0.04130816985748437,0.07223079447261284,-0.12363281250000002,0.04130816985748437
soc_v3_eg02_th032,1.1,80,0.27939453125,0.01773981868696152,0.09775390625,3.4697101033042927,0.29991044330685296,194.17089298658473,22.625,1.2506110525198266,573.45,0.04117780151238094,0.0721497852049889,-0.10517578124999999,0.04117780151238094
soc_v3_eg02_th032,1.2,80,0.22919921875,0.015789506769469667,0.25068359375,3.66721309211893,0.28057875419994216,198.3257966159891,22.375,1.2486540361217657,566.4375,0.04076401813042309,0.0692149716104774,-0.1345703125,0.04076401813042309
