variant,soc_enabled,soc_entropy_gain,soc_threshold,speed_ratio,seed,safe_frac,captured_frac,chi,chi_local,tau_P_ar1,xi_fluct,soc_branch_ratio,soc_topple_steps,soc_pred_entropy_var,soc_entropy_fluct_mean
baseline,False,,,1.0,38,0.4921875,0.0,2.789665927702222,1.336988245893715,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,39,0.3046875,0.0,3.221074407187593,3.2108975134178994,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,40,0.3984375,0.0078125,2.725888186022258,0.476836310633953,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,41,0.3046875,0.0,0.898223426559472,4.042490839921369,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,42,0.4140625,0.0,0.800899040768434,1.023004403536955,198.99999999999983,42.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,43,0.3828125,0.0,2.657801279528311,2.745963083241453,198.99999999999983,22.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,44,0.328125,0.0078125,0.41419051731732687,1.087123007852682,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,45,0.265625,0.0,0.8557948470473491,7.59455832959389,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,46,0.3671875,0.0,0.5434457993052995,0.16718426654826313,158.40421769807386,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,47,0.3671875,0.0,2.167586676567233,0.00464688417454718,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,48,0.2890625,0.0,2.246059332364497,2.91280463733212,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,49,0.3828125,0.0,0.17698536379534693,4.773772807486881,158.51677074616453,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,50,0.3359375,0.0,0.3631481869405808,3.2555544701684846,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,51,0.296875,0.0,3.2629547890552826,3.2918644970329978,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,52,0.3984375,0.0,2.000450087419754,1.119461418362717,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,53,0.3515625,0.0,2.6010693841688997,4.6597609578943695,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,55,0.4140625,0.0,0.7569335681848521,0.9768125675000492,194.2049818467865,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,54,0.4140625,0.0,1.4831159254772983,2.9641477968809844,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,56,0.3984375,0.0,1.2811396298953779,2.251220731176348,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,57,0.3515625,0.0,1.240635737893788,2.727929943750933,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,58,0.3203125,0.0078125,0.5178613047598317,3.5599228752113476,198.99999999999983,17.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,59,0.453125,0.0,1.6548813568832335,1.6044319019951925,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,60,0.359375,0.0234375,2.2517366523594347,1.4211392427865737,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,61,0.28125,0.0,1.154786865613471,5.209005050127502,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,62,0.3828125,0.0078125,2.8783462218557765,4.608366114177207,198.99999999999983,12.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,63,0.4609375,0.0,0.509312927848805,0.6796594745190857,198.99999999999983,7.5,0.0,0.0,0.0,0.0
baseline,False,,,1.0,64,0.421875,0.0,1.4320522940016314,1.2241062143030497,198.99999999999983,12.5,0.0,0.0,0.0,0.0
