speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95,P_local_mean,P_local_mean_ci95,P_local_var,P_local_var_ci95,chi_local_mean,chi_local_ci95
1.0,0.0,50,0.368125,0.011090776009820053,0.00375,0.0017630761469658647,0.13968106579004766,0.012737603460330961,0.00295276982742604,0.000751385683614305,0.37795453791053313,0.09617736750263103,8.55,2.209561947536208,71.04,1.329879152404458,0.9318689531298063,0.007968068180013178,0.035961916802100494,0.0047570117822688315,4.603125350668863,0.6088975081304104
1.0,0.05,50,0.3790625,0.015708869906839257,0.003125,0.0013834964763236657,0.27799382129845773,0.03416160536097793,0.017970072620621627,0.004973107377346517,2.3001692954395683,0.6365577443003542,14.8,1.923866939265811,58.14,1.5579779716029363,0.9567321589441897,0.008371680898577191,0.01979413787379931,0.004738916400089756,2.5336496478463117,0.6065812992114887
1.0,0.1,50,0.37734375,0.015506582523641373,0.00375,0.0014667672787460184,0.4099281842916057,0.03366499876145826,0.04079817417940483,0.006387480628508925,5.222166294963818,0.8175975204491424,17.8,1.5440673560437703,40.4,1.2596888504706232,0.9813937989182918,0.005858730339081091,0.00581354109345782,0.0026869515170684236,0.7441332599626009,0.3439297941847582
1.0,0.15,50,0.37859375,0.019620350762983314,0.003125,0.0014510233457804874,0.4520726948230029,0.034300336894508225,0.03861653299312173,0.005438959714466445,4.942916223119582,0.696186843451705,20.3,2.5379802993719234,31.84,1.3338819138139628,0.9862401633437011,0.004132774461574664,0.004519869026295523,0.0020739052306954944,0.578543235365827,0.2654598695290233
1.0,0.2,50,0.36390625,0.020361806502923553,0.003125,0.0014510233457804874,0.46849747580525525,0.03645253751146181,0.03915440984305421,0.006277291884168164,5.011764459910939,0.803493361173525,21.7,2.3652957531776018,26.4,1.3796927194125508,0.9867567694995827,0.004265307111873747,0.0038454255257670523,0.0017651470303302024,0.4922144672981827,0.2259388198822659
1.0,0.25,50,0.35921875,0.022357448598006435,0.00296875,0.0013044545076391129,0.4753203886210074,0.04228994946451738,0.040910997307402414,0.006459918938618921,5.236607655347509,0.8268696241432218,22.4,2.4003366430565523,21.8,1.0713430823037033,0.9889431416203397,0.004622508433999956,0.0021923883300641865,0.0014293660426903832,0.28062570624821587,0.18295885346436905
1.0,0.3,50,0.3734375,0.029234036776504196,0.00296875,0.0014437500000000002,0.47866318392977697,0.03996632517349921,0.03930168614343324,0.006907991851705983,5.030615826359455,0.8842229570183658,22.5,2.2747307532980687,18.92,0.9936489520952557,0.9894205364368689,0.004463313048837821,0.0023864142313255172,0.0016252328892546303,0.3054610216096662,0.20802980982459268
1.0,0.35,50,0.3965625,0.0239930360990434,0.00375,0.001591922972382772,0.4519049406803395,0.04542621349216018,0.03533790969128264,0.006661455172878889,4.523252440484178,0.8526662621284978,22.7,2.5960092449758343,17.24,0.985281766805821,0.9912540198217967,0.0032207538459718948,0.001417230578541822,0.0009137265161211659,0.18140551405335323,0.11695699406350923
1.0,0.4,50,0.37484375,0.026145850680605133,0.00296875,0.0013044545076391129,0.46745844705126144,0.0427683800277775,0.0350157391038708,0.005736666214843237,4.482014605295462,0.7342932754999343,24.1,2.5423013196708215,16.52,1.0036974843049076,0.9920264327260958,0.0036157855377581343,0.0014563583201739933,0.0010652540652054954,0.18641386498227114,0.1363525203463034
1.0,0.45,50,0.3625,0.02266148646382227,0.00265625,0.0012837475657231057,0.4785137835888316,0.039040909430726786,0.041090185262398646,0.005659511155769545,5.259543713587027,0.7244174279385017,23.6,2.429554691707927,15.62,0.8527643519753859,0.9944819662732737,0.0019547824397655894,0.0008614222151808494,0.0006006119570816881,0.11026204354314872,0.07687833050645608
1.0,0.5,50,0.37453125,0.03019513943191023,0.00359375,0.001397947714508665,0.476611133957383,0.03615665985841183,0.03748851655232,0.005647277022214217,4.79853011869696,0.7228514588434197,24.2,2.8910593214252795,14.4,0.9047076875985967,0.9944428508900346,0.0020678248850993287,0.0006894477029067227,0.00043184043118866145,0.0882493059720605,0.055275575192148665
1.0,0.55,50,0.3825,0.026107278678560122,0.0034375,0.0014615381452428807,0.495633972451304,0.04018984065473594,0.03949221263253461,0.005315710230249832,5.05500321696443,0.6804109094719785,23.1,3.0881347120875406,14.62,0.8709575420191273,0.9915316457989585,0.0031016934327175805,0.0017573361560868687,0.0011854084951535455,0.2249390279791192,0.15173228737965383
1.0,0.6,50,0.39234375,0.026949041176125357,0.00375,0.0015306248723968912,0.4777078773846246,0.03801217617475332,0.03845502787756747,0.005994213434697557,4.9222435683286365,0.7672593196412872,23.4,2.591929011373575,13.58,0.9169134310282513,0.992093355339925,0.0034969941833577936,0.0019790552379808693,0.0012923513945360837,0.2533190704615513,0.1654209785006187
