speed_ratio,angle_noise,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,chi_mean,chi_ci95,chi_local_mean,chi_local_ci95,rho1_P_mean,rho1_P_ci95,tau_P_ar1_mean,tau_P_ar1_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95
1.1,0.0,100,0.33296875,0.02029657436101713,0.133203125,0.0053990012327355084,0.43735310851700177,0.025032468179966783,4.237808770446621,0.4750209581557573,0.0732481640475891,0.04745921140066184,0.9899172834476402,0.0001009088788982311,197.74373892236727,1.494281901526646,24.55,2.207204173298488,10.43,0.5258161924882385
1.1,0.2,100,0.338671875,0.017574370951548884,0.139765625,0.005245565585673751,0.39932535107464695,0.026193227401718314,3.6261265604367323,0.45688456773387354,0.22922931594805251,0.13893699024967515,0.9898172176231884,0.00024683121864227435,196.9008158996154,2.435808543440977,23.15,2.036010468112241,12.86,0.637107356920656
1.1,0.4,100,0.3234375,0.014898572009312392,0.16578125,0.005854459141567032,0.38237760352540645,0.021242234703170427,3.4051388357885704,0.4362417889508636,0.2444541000026593,0.1393712889222305,0.9898058575800284,0.0002142842879540511,196.5082049722792,2.469612323820745,22.15,1.7906090719319077,18.25,0.7250501619706994
1.1,0.6,100,0.318671875,0.013089874003682835,0.204296875,0.006229954240713376,0.3478154327885539,0.02042668292313256,2.648253646545183,0.3066297404637408,0.2966363828572878,0.1315892753995475,0.9893286388256157,0.0004874454105319664,191.6588701286347,4.600939532666002,19.95,1.4101808609558066,23.33,0.8016468009886607
1.1,0.8,100,0.30140625,0.013174432060502377,0.243359375,0.009234746730199375,0.2902548632487911,0.014966905935426149,2.2584334957800603,0.23093606028337263,0.3284847162184302,0.12629837077826284,0.989042081693541,0.0006351298398544247,189.3088351296235,5.437036535577363,17.9,1.1202333090328398,27.92,0.8393050862938864
1.1,1.0,100,0.2803125,0.010202020775515037,0.311875,0.008674844853865478,0.23376013083748975,0.010443394624079233,1.4486740706377277,0.12433169718617354,0.5063086109727318,0.17239642414064257,0.9842883096291771,0.0016397402625544675,153.48499396191121,10.678983027551993,16.7,1.0397502419603302,30.04,0.8689444975359357
1.1,1.2,100,0.270390625,0.010516644169546544,0.36453125,0.011273834197635817,0.1851117045759912,0.0067333193266454735,1.1326182727296674,0.0921199369149366,0.5733296556709017,0.21075833952636278,0.9687966353719577,0.002947683756425514,78.84637974416418,7.537911303765374,14.3,0.8532079453332572,30.72,0.9426953971019333
1.1,1.4,100,0.23109375,0.009076444752925236,0.431953125,0.012730303673088849,0.1623267486910861,0.004780383217638677,0.9044696980745563,0.05534565544904048,0.6821339496384163,0.2403136523644753,0.9448431092460635,0.0037501897802322518,40.12680507981099,3.119213567802871,13.3,0.7720298314223749,31.53,1.0551080492326632
1.1,1.6,100,0.195546875,0.008334467790914828,0.464765625,0.015146871118602492,0.14701328887537193,0.0032337012462644375,0.7625881289269826,0.04316220441997321,0.7716267383390256,0.2041128601095189,0.9125053291527497,0.004972612926268785,24.074832637725237,1.633114175709288,11.95,0.7088126079093917,33.42,1.4467997905513375
1.1,1.8,100,0.162578125,0.008203400752940957,0.514375,0.015225201910016087,0.13574840938304558,0.00253979135137255,0.659671102737797,0.02899812022749921,1.1684666533717951,0.34571983125878536,0.8661776612545186,0.00572827703520724,14.649762156240508,0.6600331284044563,10.975,0.7432686410223914,33.36,1.4000027151488825
1.1,2.0,100,0.126328125,0.006525843170334912,0.56234375,0.01393927774083856,0.12765751711340478,0.002017364051749188,0.6070551147864499,0.023767712389938966,1.4781021245547803,0.3428922917710556,0.8120366998202826,0.0059619173060423275,9.916345493378557,0.3449879176440018,10.45,0.7115445995661251,33.08,1.4310237268007358
1.1,2.2,100,0.098359375,0.005549219646019286,0.585234375,0.017220032397272073,0.12203377774008141,0.0017508596687880371,0.5682545657220988,0.02147619271531914,2.4123872554690964,0.5202301295500303,0.7476156972627622,0.006987755989493037,7.082729592483224,0.22481750024564034,9.15,0.9192687256178086,34.24,1.7227379776965444
1.1,2.4,100,0.069296875,0.005850715874395006,0.628984375,0.017199940111747358,0.11995240410262176,0.0016395450535734513,0.5550383912349542,0.019690765264718545,2.813501920893378,0.5096145843534736,0.6772275126124208,0.007712673534966569,5.294446252086797,0.1621925059390208,8.025,1.0075646155683788,33.66,1.739348650408183
1.1,2.6,100,0.0496875,0.004425799769362013,0.65671875,0.016687396447773895,0.11817112679692775,0.0015636299283545312,0.550034871338355,0.020150679103136653,3.8356283853339033,0.673223038599822,0.6105216664204121,0.008481541149130096,4.201051967992115,0.11975723702668609,7.125,1.1259665881258456,32.72,1.6694215370249743
1.1,2.8,100,0.036015625,0.0033639306378598346,0.678984375,0.01635520715120438,0.11700309531809988,0.0013244486916126662,0.5508846201771168,0.018454407479093517,4.318876094812451,0.7059486415658617,0.5459963049694995,0.009618638362779102,3.4570578913616092,0.09568165526804867,6.125,1.379571280939089,32.41,1.7898981265519958
1.1,3.0,100,0.02328125,0.002647555139471207,0.689609375,0.018109959720517224,0.11753232642460672,0.0015132460871930755,0.5716904975970112,0.02380360547003303,4.145184264562204,0.656314952781997,0.5040523236896077,0.01108765053093231,3.087211094069902,0.09642393480313424,5.85,1.0264632029793892,32.66,1.949920669300589
