speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95
1.0,0.0,15,0.35208333333333336,0.026625668353635324,0.0010416666666666667,0.0013911613353997123,0.11737438350945206,0.021694515929003937,0.0018402953229124494,0.0005678549706604662,0.23555780133279353,0.07268543624453967
1.0,0.05,15,0.36354166666666665,0.0315893312796337,0.0015625,0.0016369751067135995,0.26654704789967154,0.07788433253109837,0.015991530818884103,0.012375747281085247,2.046915944817165,1.5840956519789116
1.0,0.1,15,0.3578125,0.038628219256350224,0.003125,0.002500520779091161,0.4218952512131752,0.06719914204602245,0.02499064730315619,0.007361846588680432,3.198802854803992,0.9423163633510953
1.0,0.15,15,0.3963541666666667,0.026330490023186257,0.0015625,0.0016369751067135993,0.48484642274180223,0.07039076341737999,0.0368798923253373,0.008634174510239349,4.720626217643175,1.1051743373106366
1.0,0.2,15,0.3854166666666667,0.04006039277696169,0.0015625,0.0016369751067135995,0.5142362356266102,0.04910067467408051,0.04029170887706434,0.01007916022957239,5.157338736264236,1.290132509385266
1.0,0.25,15,0.38229166666666664,0.044817124548299364,0.0020833333333333333,0.0018097440733736666,0.45351185035079666,0.07651616519841771,0.033130471866347544,0.010968985026868498,4.240700398892486,1.4040300834391677
1.0,0.3,15,0.41510416666666666,0.04361513936633064,0.0015625,0.0016369751067135993,0.5235794595186187,0.0561875830979814,0.035080851356631755,0.008824619983899952,4.490348973648865,1.1295513579391938
1.0,0.35,15,0.39479166666666665,0.03907843563839838,0.0020833333333333333,0.0018097440733736666,0.473743444785393,0.07463707742753929,0.030903119540377475,0.008559203720481525,3.955599301168317,1.0955780762216352
1.0,0.4,15,0.38177083333333334,0.0367823931310137,0.004166666666666667,0.002530113771047548,0.5045482290265465,0.054416585860070706,0.038073064469552366,0.006667745760299163,4.873352252102703,0.8534714573182929
1.0,0.45,15,0.3536458333333333,0.0477131365849886,0.0015625,0.0016369751067135993,0.5115736388598637,0.07228271741243666,0.039112217653569537,0.012620566369294765,5.006363859656901,1.6154324952697299
1.0,0.5,15,0.3578125,0.0623735491648236,0.0020833333333333333,0.0023469653870003657,0.48653641998677666,0.08331065660826202,0.031319055874327394,0.010271652232929317,4.008839151913906,1.3147714858149526
1.0,0.55,15,0.3619791666666667,0.052677939194484234,0.003125,0.002500520779091161,0.5678422093974316,0.048374361384843724,0.046861552360905154,0.00961070024746672,5.99827870219586,1.2301696316757402
1.0,0.6,15,0.39739583333333334,0.05395951575281025,0.0026041666666666665,0.002440258410724387,0.5043182743561266,0.086168164074482,0.03540088102126416,0.008907155267257067,4.531312770721812,1.1401158742089046
1.0,0.65,15,0.42135416666666664,0.05184041685253355,0.0015625,0.0016369751067135995,0.4585394367999754,0.06858439819615865,0.026698085108254877,0.009331273803165252,3.4173548938566243,1.1944030468051523
1.0,0.7,15,0.3854166666666667,0.06107962414841066,0.0020833333333333333,0.002346965387000366,0.4583819230929694,0.07750400597618974,0.032757408523268514,0.01245473957974404,4.19294829097837,1.5942066662072372
1.0,0.75,15,0.3807291666666667,0.04469238512537057,0.0036458333333333334,0.0029384602449431083,0.44984476506763643,0.0771066347490877,0.034347780939410676,0.00954174739907608,4.3965159602445665,1.2213436670817381
1.0,0.8,15,0.3541666666666667,0.059991409251890206,0.0020833333333333333,0.002346965387000366,0.5047966597070519,0.06483710768458861,0.03609995383982938,0.01028917642996571,4.62079409149816,1.3170145830356108
1.0,0.85,15,0.39739583333333334,0.044926608748169616,0.005208333333333333,0.0032281584447552206,0.5372003969200825,0.07486893064891488,0.03823450671747382,0.00802945469820561,4.894016859836649,1.027770201370318
1.0,0.9,15,0.3651041666666667,0.057633510458567225,0.0015625,0.002216474772395722,0.4474218201833712,0.07448255237200452,0.026841186409434985,0.00957804752183418,3.435671860407678,1.225990082794775
1.0,0.95,15,0.35989583333333336,0.05388911664112812,0.0026041666666666665,0.002440258410724387,0.4412312137876803,0.0782934032633018,0.024851250260343235,0.007556269910415556,3.180960033323934,0.9672025485331912
1.0,1.0,15,0.3333333333333333,0.04708181229106533,0.0010416666666666667,0.0013911613353997123,0.4757563035765209,0.07457472430419972,0.027277663287092392,0.007170782329735935,3.491540900747826,0.9178601382061997
1.05,0.0,15,0.3536458333333333,0.02741084823011583,0.078125,0.00732077523217316,0.11898400650553018,0.015468885955780226,0.0017853354287702056,0.000421699811669237,0.22852293488258632,0.05397757589366234
