speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95,rho1_P_mean,rho1_P_ci95,tau_P_ar1_mean,tau_P_ar1_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95,P_local_mean,P_local_mean_ci95,P_local_var,P_local_var_ci95,chi_local_mean,chi_local_ci95
1.1,0.0,80,0.23701171875,0.007997274864186547,0.1013671875,0.0031411419285757975,0.10021619025036366,0.008617587865488278,0.001105159708860769,0.00018299640875541097,0.14146044273417843,0.023423540320692604,0.983872936572865,0.0025362735608140813,159.71000155258562,12.527499611671,4.9375,1.172632242684073,74.0625,1.0303983115182918,0.9183485193558388,0.006310269322972616,0.043713393372770096,0.003962049022378023,5.595314351714572,0.5071422748643869
1.1,0.05,80,0.23515625,0.010406854621884764,0.10302734375,0.002960165666817892,0.14012431382788482,0.014231922710807076,0.0024407533755283267,0.0005166089273475271,0.3124164320676258,0.06612594270048347,0.9867025893333838,0.001786786992485739,172.996412428869,9.65510240024617,9.84375,1.2057566873471108,70.975,1.252284995063328,0.9302616018447392,0.006585005051487218,0.03448735968736535,0.003987306511633433,4.4143820399827645,0.5103752334890794
1.1,0.1,80,0.24287109375,0.011382791348747864,0.10107421875,0.0025891166470540703,0.19937815683834365,0.01657977271002015,0.006618879858621894,0.0011508988412572874,0.8472166219036025,0.14731505168093278,0.9883962570325538,0.0011448503508864666,185.37881747790956,7.537845253593449,14.4375,1.2264722166038926,62.2,1.219542018208973,0.9493590182515543,0.005334030894761692,0.022782083718726562,0.0030111952843915424,2.916106715997,0.3854329964021174
1.1,0.15,80,0.243359375,0.01105845207375801,0.0974609375,0.0029711899481554816,0.258320888591825,0.022154933188474692,0.012852206551760592,0.001958738409831821,1.6450824386253557,0.2507185164584731,0.989452532467703,0.0004425228656709882,192.52582683735417,4.615096467164836,15.0625,1.1693879917788004,52.075,1.1583846839238539,0.9590399588213245,0.005951509177518123,0.017248173491125583,0.003086128803715433,2.2077662068640747,0.3950244868755754
1.1,0.2,80,0.24921875,0.010029247305902024,0.09892578125,0.0028949006382751816,0.29490558749336127,0.026647431384082657,0.01783963134244742,0.0025672851382914016,2.2834728118332697,0.3286124977012994,0.989181636738282,0.0005447444198480655,189.39629362960656,5.5303288877570305,17.375,1.4267204803723552,42.1125,0.9731493943228275,0.9691826013982677,0.0062680483843505705,0.011380906998643308,0.0029616376800393764,1.4567560958263435,0.3790896230450402
1.1,0.25,80,0.24765625,0.012996513099643643,0.09697265625,0.0032991978895612283,0.3417209589745385,0.02923103410845961,0.022146378065247514,0.0034550625788033647,2.8347363923516817,0.4422480100868307,0.9896007324896609,0.0003176691392519057,193.78839642731833,3.9555196782245963,19.0,1.5037270153551345,33.8125,1.2396588125443981,0.980255725706769,0.003269502339761507,0.006725838349973706,0.0015553264142218028,0.8609073087966344,0.19908178102039076
1.1,0.3,80,0.24560546875,0.015202698876259394,0.09931640625,0.003901976276634345,0.35376651692847094,0.02748169850003929,0.024027768394817413,0.0034181201964004434,3.075554354536629,0.43751938513925676,0.9896539448092234,0.0003109113326066506,194.59405230899247,3.7403065531004365,19.6875,1.661613687795197,27.6625,0.8154246990822743,0.9817859098209164,0.0040087093150748794,0.005815650660944814,0.0016546483956540962,0.7444032846009362,0.2117949946437243
1.1,0.35,80,0.25205078125,0.014896771708993497,0.0951171875,0.0035908412786641165,0.37159909125959156,0.027811939934330173,0.024798658704319958,0.0036366102414430363,3.1742283141529546,0.46548611090470865,0.9895677458675346,0.00044044968012330916,194.3519019735213,4.2886384092599314,20.4375,1.575712391630922,22.65,0.929775010214973,0.9866260603209526,0.0035550174285729277,0.004272121853420632,0.00166018390497886,0.5468315972378409,0.2125035398372941
1.1,0.4,80,0.23720703125,0.014649405683985098,0.10107421875,0.0037679896479597217,0.3637413844328509,0.02766058154098535,0.02286886508712699,0.003630402132437543,2.9272147311522545,0.4646914729520055,0.9894911730507099,0.0004998716336686146,193.62005132514915,4.545034018368784,21.25,1.573842753472604,19.8125,0.7663519017669181,0.9866916534603941,0.004994527154915526,0.003676197844778317,0.002032318885615026,0.4705533241316246,0.26013681735872335
1.1,0.45,80,0.23857421875,0.01598333949023403,0.10771484375,0.003991280601050333,0.3464721908337293,0.027034775261117885,0.019145266983045115,0.003066765444406045,2.4505941738297747,0.39254597688397375,0.9897639085152214,0.00027168398024929644,196.10128614797418,3.1606172086627238,19.9375,1.57860294648725,16.825,0.7169141943254551,0.9898143133446485,0.004184193903575818,0.002322325230248836,0.0013057339344638634,0.297257629471851,0.1671339436113745
