gain,n_pairs,delta_safe_mean,delta_safe_ci95,delta_safe_lo,delta_safe_hi
0.0,120,-0.131640625,0.012772399398288463,-0.1444130243982885,-0.11886822560171155
0.25,120,-0.15377604166666667,0.01294774567120458,-0.16672378733787124,-0.1408282959954621
0.5,120,-0.13483072916666666,0.012926820176755541,-0.1477575493434222,-0.12190390898991112
0.75,120,-0.12740885416666667,0.014744134820566843,-0.1421529889872335,-0.11266471934609983
1.0,120,-0.14368489583333333,0.012163502607842765,-0.1558483984411761,-0.13152139322549056
