speed_ratio,w_align,n,safe_mean,safe_ci95,captured_mean,captured_ci95,P_mean,P_mean_ci95,P_var,P_var_ci95,chi_mean,chi_ci95,rho1_P_mean,rho1_P_ci95,tau_P_ar1_mean,tau_P_ar1_ci95,xi_fluct_mean,xi_fluct_ci95,components_mean,components_ci95,P_local_mean,P_local_mean_ci95,P_local_var,P_local_var_ci95,chi_local_mean,chi_local_ci95
1.1,0.0,100,0.331484375,0.009552133681627661,0.148984375,0.004038161004523382,0.10570138434460953,0.006745318416694536,0.0018913156292401903,0.0002770341796601299,0.24208840054274436,0.035460374996496624,0.9875428293565132,0.0011533316935002033,177.49531173509274,7.994140767021727,6.15,1.054894719243048,60.24,1.111232511832486,0.93841076153913,0.006155436534691894,0.03485575591812856,0.003812288063680176,4.461536757520456,0.48797287215106255
1.1,0.05,100,0.33171875,0.008572513844138983,0.14171875,0.003556439277950985,0.24479726208645317,0.0188389617279345,0.012758309353604468,0.0020548166750298386,1.6330635972613718,0.26301653440381934,0.9897843747853828,0.00017978158113821676,195.88182340716554,2.448426617764978,14.2,1.1918959347157447,51.68,0.9829178380534338,0.9589496236778287,0.005415343873114418,0.019354754208875734,0.003380600268122549,2.477408538736094,0.43271683431968627
1.1,0.1,100,0.344375,0.012721714794173502,0.14265625,0.0038234510608245276,0.33611565588443276,0.02434542398981043,0.023309718130715716,0.0029274821328805624,2.9836439207316117,0.374717713008712,0.9898610852718669,0.00015996324914313012,197.08111126864642,2.0394754211474324,16.55,1.3625991058386628,37.83,1.0821962039475022,0.9762774816479394,0.004251682930584218,0.008635306255542917,0.0020884571433980163,1.1053192007094934,0.2673225143549461
1.1,0.15,100,0.346953125,0.012996905358855206,0.1334375,0.00424642572888772,0.40072025351330076,0.027943057944423075,0.029882625966517765,0.003374118841382885,3.824976123714274,0.4318872116970093,0.9899619733726084,5.2751141080605345e-05,198.36198436969323,0.8835252800353489,19.35,1.4849702374325908,28.49,0.8429104931094042,0.9829409612517506,0.003835579504809179,0.005604225680869473,0.0018085542348870469,0.7173408871512925,0.231494942065542
1.1,0.2,100,0.334765625,0.013594159168200604,0.125390625,0.0036830791612177866,0.44314451377545405,0.026809479991233016,0.037837735935608734,0.004081040210053288,4.843230199757918,0.5223731468868209,0.9898727364789246,0.00012752405146842325,197.08468470451535,1.8493552807060496,22.2,1.8936423563432916,23.48,0.8981761956230184,0.9868181635738883,0.003292683100641843,0.003539030596651861,0.0013106308280537505,0.4529959163714382,0.16776074599088006
1.1,0.25,100,0.347265625,0.015515895832876865,0.125625,0.004161923626185614,0.42876837637122134,0.028210866358813643,0.03208283792193321,0.003633000872949007,4.106603254007451,0.4650241117374729,0.9896925303369326,0.00030457638246361924,195.543615636846,3.3149677942526714,21.85,1.8876647001525513,20.16,0.8379354561580914,0.9873068981833356,0.0035588389273604488,0.003045583275409593,0.0012285373034164136,0.3898346592524279,0.15725277483730093
1.1,0.3,100,0.336171875,0.015699629510698677,0.12578125,0.0036320858232424783,0.4476309629444659,0.02559847076890538,0.03489880604652528,0.003822938475282046,4.467047173955236,0.4893361248361019,0.9898243151658207,0.00019361369256009768,196.6996677829588,2.376987751398029,23.35,1.666,18.13,0.6884167530345161,0.9903823139374545,0.0027217865186442733,0.0019973488342551965,0.0009144071783518226,0.25566065078466516,0.11704411882903329
1.1,0.35,100,0.353828125,0.017501338273482037,0.12453125,0.004574737592173727,0.41935177324340694,0.026726901456370526,0.03166167051641305,0.003829600212639873,4.05269382610087,0.49018882721790374,0.9899314145329245,0.00010693556581417765,198.03254195580735,1.4481822191668947,23.1,1.82295858982096,15.56,0.6641251725755355,0.9917658806386977,0.0024438211991378088,0.001818186191605431,0.0011589150959984379,0.23272783252549517,0.14834113228780005
1.1,0.4,100,0.3484375,0.01662651176008007,0.125546875,0.004193529069866682,0.43423501511767776,0.02688166579727598,0.03213556419399007,0.003938232788568229,4.113352216830729,0.5040937969367333,0.9899756716556536,3.7295737188752325e-05,198.57592846848004,0.6398667221132205,24.6,2.0621674975323385,14.79,0.6658611606427612,0.9907525724283319,0.0032886469507805265,0.0019023725213719494,0.001184167530112424,0.24350368273560952,0.15157344385439028
1.1,0.45,100,0.351171875,0.017007294729078345,0.121484375,0.004679944194469873,0.4266470529345225,0.027437032265653825,0.03160745479749626,0.003885689425381867,4.045754214079521,0.497368246448879,0.9899999999999999,2.1869996013146937e-17,198.99999999999983,0.0,24.4,1.8572267367004902,14.16,0.603129004744123,0.9896470597954229,0.003697824038291906,0.002416498790178187,0.0013014958230278461,0.30931184514280796,0.1665914653475643
1.1,0.5,100,0.3534375,0.01820031868893476,0.120078125,0.004268538405492019,0.4221484259697626,0.027577645255993842,0.031510369636155236,0.0040143508680555275,4.03332731342787,0.5138369111111075,0.9898030986629226,0.00020918226016073118,196.5028389689212,2.5874689522727143,24.95,2.0916640613288133,13.12,0.5559653444617068,0.9896164693708804,0.003717801439207582,0.0023014297454574256,0.0013662119339127889,0.2945830074185505,0.17487512754083698
