speed_ratio,w_align,safe_mean,safe_ci95,captured_mean,chi_mean,policy
0.9,0.0,0.3636067708333333,0.007653881629192722,0.0009114583333333333,0.32941694608646327,p0_nearest
0.9,0.02,0.36790364583333335,0.008618722466602367,0.0009114583333333333,0.39628817369600733,p0_nearest
0.9,0.04,0.3743489583333333,0.008060726188854643,0.0009114583333333333,0.5299389637223482,p0_nearest
0.9,0.06,0.3626302083333333,0.0073400014116858205,0.0009114583333333333,0.7282012916571545,p0_nearest
0.9,0.08,0.37018229166666666,0.008094469667483752,0.0009114583333333333,0.9804328539701295,p0_nearest
0.9,0.1,0.3671875,0.008282590993904259,0.0009114583333333333,1.402941520822992,p0_nearest
0.9,0.12,0.37916666666666665,0.00770527603983671,0.0009765625,1.7991071700834667,p0_nearest
0.9,0.14,0.3846354166666667,0.010431716456614852,0.0009114583333333333,2.2413288962340863,p0_nearest
0.9,0.16,0.377734375,0.010240959657692141,0.0009114583333333333,2.8332764220543227,p0_nearest
0.9,0.18,0.3783203125,0.010612621815317842,0.0009114583333333333,3.2369452877428215,p0_nearest
0.9,0.2,0.3748697916666667,0.009701386924259186,0.0009765625,3.20552277287806,p0_nearest
0.9,0.22,0.369140625,0.011640583876095276,0.0009765625,3.8558025837373617,p0_nearest
0.9,0.24,0.37454427083333336,0.0123643314348453,0.0010416666666666667,4.086773022177697,p0_nearest
0.9,0.26,0.3755859375,0.012874211503419875,0.0009114583333333333,4.120608946634317,p0_nearest
0.9,0.28,0.3723958333333333,0.012862945934535663,0.0009114583333333333,4.3897739063273145,p0_nearest
0.9,0.3,0.3694661458333333,0.014225639258455436,0.0009765625,4.321584667038254,p0_nearest
1.1,0.0,0.3270182291666667,0.007574957777810091,0.14752604166666666,0.21416944832540313,p0_nearest
1.1,0.02,0.3302083333333333,0.007514975177599368,0.14856770833333333,0.3338524037888759,p0_nearest
1.1,0.04,0.330859375,0.00782520382563188,0.1455078125,0.4509093567729346,p0_nearest
1.1,0.06,0.3367838541666667,0.007884041133271713,0.14856770833333333,0.622311549188412,p0_nearest
1.1,0.08,0.33229166666666665,0.0073385472113771345,0.14453125,0.9161595736456434,p0_nearest
1.1,0.1,0.3390625,0.009287042450397768,0.14381510416666668,1.4309705742848196,p0_nearest
1.1,0.12,0.3455729166666667,0.008264200061423295,0.14290364583333334,1.99929453146335,p0_nearest
1.1,0.14,0.3388671875,0.009015505463470803,0.14147135416666667,2.498615725197683,p0_nearest
1.1,0.16,0.3392578125,0.010244185854279442,0.1443359375,2.6499430246847524,p0_nearest
1.1,0.18,0.35013020833333336,0.010050530476038332,0.140625,3.295850261656683,p0_nearest
1.1,0.2,0.3409505208333333,0.00959213402730268,0.1427734375,3.329756895239293,p0_nearest
1.1,0.22,0.34908854166666664,0.01104821972175239,0.13802083333333334,4.217638145542311,p0_nearest
1.1,0.24,0.34615885416666664,0.011809396033536371,0.13834635416666666,4.217474013996721,p0_nearest
1.1,0.26,0.3463541666666667,0.013105743976349114,0.1353515625,4.110514707717716,p0_nearest
1.1,0.28,0.34453125,0.012463669630641076,0.13756510416666667,4.177802138644127,p0_nearest
1.1,0.3,0.34088541666666666,0.01200539594351727,0.13821614583333333,4.021847713150859,p0_nearest
1.3,0.0,0.275390625,0.0072333413323702606,0.37083333333333335,0.2427612499213101,p0_nearest
1.3,0.02,0.28079427083333336,0.007684711446964395,0.371484375,0.26976824083165135,p0_nearest
1.3,0.04,0.2799479166666667,0.006708263400104363,0.3707682291666667,0.4029466014209807,p0_nearest
1.3,0.06,0.284375,0.007003015205389158,0.36940104166666665,0.5214148435533539,p0_nearest
1.3,0.08,0.2892578125,0.008042125641912298,0.36497395833333335,0.8161593498119156,p0_nearest
1.3,0.1,0.2857421875,0.007925308332723383,0.36178385416666664,1.3700559044924023,p0_nearest
1.3,0.12,0.2872395833333333,0.008333449371128388,0.36061197916666665,1.817847497973581,p0_nearest
1.3,0.14,0.292578125,0.009321366960283888,0.3492838541666667,2.5876212898591757,p0_nearest
1.3,0.16,0.2880859375,0.008458279024662955,0.35891927083333336,2.9797087867566647,p0_nearest
1.3,0.18,0.29296875,0.010029297042803854,0.36692708333333335,3.226297878930395,p0_nearest
1.3,0.2,0.28860677083333336,0.010051040997498702,0.353125,4.199064246191644,p0_nearest
1.3,0.22,0.288671875,0.01041614834801146,0.35598958333333336,4.075567930694191,p0_nearest
1.3,0.24,0.29127604166666665,0.010846032470719545,0.35299479166666664,4.539527732389703,p0_nearest
1.3,0.26,0.29921875,0.010781373436349358,0.3570963541666667,4.553058423060042,p0_nearest
1.3,0.28,0.27936197916666666,0.010329316219168678,0.3719401041666667,4.147000215142773,p0_nearest
1.3,0.3,0.2770182291666667,0.011453803433486998,0.3681640625,4.635291799071758,p0_nearest
1.4,0.0,0.26412760416666664,0.007132867756463303,0.44993489583333335,0.3167678953418414,p0_nearest
1.4,0.02,0.2646484375,0.007199923575999246,0.4522786458333333,0.3717132142342006,p0_nearest
1.4,0.04,0.2657552083333333,0.007574280365287596,0.4534505208333333,0.4475325124230068,p0_nearest
1.4,0.06,0.26640625,0.007986680854925366,0.4481119791666667,0.6677449247510462,p0_nearest
1.4,0.08,0.26829427083333335,0.007768017178208911,0.45221354166666666,1.164259974623954,p0_nearest
1.4,0.1,0.26829427083333335,0.00816779753391135,0.45481770833333335,1.3957645018701337,p0_nearest
1.4,0.12,0.2734375,0.009275720236556444,0.44407552083333335,2.03892373320548,p0_nearest
1.4,0.14,0.2737630208333333,0.008544868617072592,0.4505208333333333,2.6366028941285626,p0_nearest
